Student_ID,Gender,Age,Field_of_Study,Study_Hours_per_Day,Mode_of_Learning,Internet_Access,Satisfied_with_Learning_Environment,Participates_in_Extracurriculars,Feels_Stressed,Would_Recommend_Institute,Total Marks Scored
S02371,Female,20,Law,11,Hybrid,Yes,Dissatisfied,,No,No,64
S02372,Male,22,Commerce,8,Online,Yes,Very Satisfied,Yes,Yes,Yes,69
S02373,Other,23,Arts,0,Online,Yes,Very Dissatisfied,Yes,Yes,Yes,53
S02374,Male,23,,4,Hybrid,Yes,Satisfied,Yes,Yes,Yes,46
S02375,Other,25,Engineering,11,Online,Yes,Very Dissatisfied,,No,No,56
S02376,Female,18,Engineering,5,Hybrid,Yes,Very Dissatisfied,No,No,No,83
S02377,Male,23,Law,3,Online,Yes,Satisfied,Yes,Yes,,59
S02378,Other,23,Science,10,Online,Yes,Very Satisfied,,Yes,No,75
S02379,Male,18,Medicine,1,,Yes,Neutral,Yes,No,No,48
S02380,Male,23,Medicine,4,Offline,Yes,Satisfied,Yes,Yes,Yes,77
S02381,Female,20,Medicine,3,Hybrid,Yes,Very Dissatisfied,Yes,Yes,No,87
S02382,Male,19,Engineering,12,Offline,Yes,Dissatisfied,No,No,No,96
S02383,Other,22,Arts,6,Hybrid,Yes,Satisfied,No,Yes,Yes,99
S02384,Other,20,Law,5,Hybrid,Yes,Satisfied,Yes,No,Yes,61
S02385,Other,20,Science,2,Offline,Yes,Neutral,No,No,No,93
S02386,Other,19,Medicine,8,Offline,Yes,Very Dissatisfied,No,No,Yes,92
S02387,Female,,,3,Hybrid,Yes,Dissatisfied,,Yes,Yes,92
S02388,Male,24,Engineering,10,Hybrid,Yes,Dissatisfied,,Yes,Yes,41
S02389,Female,,Medicine,4,Hybrid,Yes,Neutral,No,Yes,No,63
S02390,Male,25,Science,2,Offline,Yes,Dissatisfied,Yes,Yes,Yes,47
S02391,Male,25,Commerce,7,Hybrid,Yes,Very Satisfied,No,No,Yes,50
S02392,Male,20,Science,10,Offline,No,Satisfied,Yes,Yes,No,52
S02393,Female,23,Arts,6,Online,Yes,Satisfied,Yes,No,No,56
S02394,Male,25,Medicine,10,Offline,Yes,Dissatisfied,No,Yes,No,47
S02395,Female,19,Medicine,10,Online,Yes,Dissatisfied,Yes,Yes,No,60
S02396,Other,24,Commerce,6,Hybrid,Yes,Dissatisfied,Yes,Yes,Yes,57
S02397,Other,22,Commerce,7,Hybrid,Yes,Satisfied,No,No,No,69
S02398,Male,,Medicine,6,Offline,Yes,Dissatisfied,Yes,No,Yes,57
S02399,Female,18,Arts,2,Online,Yes,Very Satisfied,No,Yes,Yes,85
S02400,Other,23,Commerce,2,Hybrid,Yes,Very Satisfied,No,No,No,86
S02401,Female,19,Engineering,1,Hybrid,,Satisfied,Yes,Yes,No,70
S02402,Female,18,Medicine,12,Online,Yes,Very Dissatisfied,No,Yes,No,77
S02403,Male,24,Science,0,Hybrid,,Very Dissatisfied,No,Yes,Yes,71
S02404,Other,24,Science,4,Hybrid,Yes,Very Dissatisfied,No,Yes,Yes,50
S02405,Male,21,Arts,11,Offline,Yes,Very Satisfied,No,No,No,84
S02406,Male,25,Engineering,3,Hybrid,Yes,Neutral,No,Yes,Yes,64
S02407,Other,20,,12,Online,Yes,Very Dissatisfied,No,No,,72
S02408,,20,Medicine,10,Hybrid,Yes,Neutral,No,Yes,No,99
S02409,Female,22,Science,1,Offline,Yes,Satisfied,Yes,No,No,77
S02410,Other,19,Science,0,Hybrid,Yes,Very Satisfied,No,,No,80
S02411,Female,19,Science,2,Online,Yes,Very Dissatisfied,No,Yes,No,47
S02412,Female,25,Science,12,Hybrid,Yes,Very Satisfied,No,No,Yes,50
S02413,Female,24,Law,5,Online,Yes,Satisfied,Yes,Yes,No,61
S02414,,22,Arts,12,Offline,Yes,Very Satisfied,Yes,No,No,90
S02415,Male,25,Commerce,1,Hybrid,Yes,Dissatisfied,No,Yes,Yes,63
S02416,Female,18,Medicine,9,Hybrid,Yes,Very Dissatisfied,No,No,No,80
S02417,Male,20,Medicine,12,Offline,Yes,Very Satisfied,No,Yes,Yes,56
S02418,Male,20,Medicine,6,Online,Yes,Very Satisfied,,No,Yes,51
S02419,Other,24,Commerce,10,Online,Yes,Very Satisfied,Yes,Yes,Yes,96
S02420,Male,19,Arts,6,,Yes,Satisfied,No,No,Yes,85
S02421,Male,24,Engineering,10,Online,No,Very Dissatisfied,Yes,Yes,No,71
S02422,Other,25,Arts,2,Online,Yes,Very Dissatisfied,No,Yes,Yes,54
S02423,Female,19,Science,0,Hybrid,,Dissatisfied,No,Yes,No,55
S02424,Male,22,Science,8,Online,Yes,Dissatisfied,,No,Yes,93
S02425,Other,25,Arts,10,Online,Yes,Very Satisfied,Yes,No,Yes,61
S02426,Male,21,Arts,4,Hybrid,Yes,Very Dissatisfied,Yes,Yes,No,67
S02427,Male,18,Commerce,1,Hybrid,Yes,Very Dissatisfied,Yes,,Yes,59
S02428,Female,23,Commerce,7,,Yes,Very Satisfied,No,Yes,No,72
S02429,Male,21,Law,11,Hybrid,Yes,Neutral,No,No,Yes,49
S02430,Other,25,Medicine,9,Online,Yes,Very Dissatisfied,Yes,Yes,Yes,79
S02431,Male,21,Law,9,Online,Yes,Very Satisfied,No,Yes,Yes,71
S02432,Female,19,Medicine,3,Online,Yes,Very Satisfied,Yes,Yes,Yes,89
S02433,Female,19,Science,10,,No,Neutral,Yes,No,No,99
S02434,Other,19,Law,9,Hybrid,,Dissatisfied,No,Yes,No,72
S02435,,21,Law,11,Hybrid,Yes,Very Satisfied,Yes,Yes,Yes,41
S02436,Male,24,Engineering,,Offline,Yes,Very Dissatisfied,No,No,No,72
S02437,Female,18,Arts,12,Hybrid,Yes,Dissatisfied,No,Yes,No,72
S02438,Other,24,Commerce,4,Offline,Yes,Dissatisfied,No,Yes,Yes,80
S02439,Female,19,Law,12,Online,Yes,Dissatisfied,Yes,No,,52
S02440,Female,25,Commerce,2,Hybrid,Yes,Very Satisfied,Yes,No,Yes,69
S02441,Female,,Medicine,9,Online,Yes,Very Dissatisfied,Yes,No,No,72
S02442,Other,20,,7,Offline,Yes,Neutral,Yes,Yes,,52
S02443,Female,24,Medicine,1,Hybrid,Yes,Satisfied,No,Yes,No,91
S02444,Female,18,Law,0,Hybrid,Yes,Satisfied,Yes,No,Yes,65
S02445,Male,25,Science,4,Hybrid,Yes,Dissatisfied,Yes,Yes,No,61
S02446,Other,20,Engineering,10,Hybrid,Yes,Satisfied,No,Yes,No,78
S02447,,18,Medicine,3,Online,Yes,Satisfied,No,Yes,No,41
S02448,,19,Arts,10,Hybrid,No,Very Satisfied,No,No,No,77
S02449,Female,24,Arts,9,Offline,Yes,Neutral,No,Yes,Yes,78
S02450,Female,23,,6,Hybrid,Yes,Satisfied,Yes,No,No,65
S02451,Female,22,Science,12,,Yes,Neutral,No,Yes,Yes,85
S02452,Male,19,Arts,8,Offline,Yes,Satisfied,Yes,No,No,97
S02453,Male,25,Medicine,5,Online,Yes,Dissatisfied,Yes,Yes,No,89
S02454,Male,21,Arts,10,Hybrid,Yes,Dissatisfied,Yes,Yes,No,54
S02455,Other,23,Engineering,0,Offline,Yes,Neutral,No,No,No,73
S02456,Other,21,Law,7,Hybrid,Yes,Neutral,No,No,Yes,81
S02457,Male,18,Engineering,1,Online,Yes,Neutral,Yes,Yes,Yes,94
S02458,Other,21,Arts,3,Online,Yes,Neutral,Yes,Yes,No,83
S02459,Female,23,Law,2,Hybrid,Yes,Very Dissatisfied,No,No,No,88
S02460,Female,23,Arts,5,Offline,Yes,Dissatisfied,No,Yes,Yes,79
S02461,Female,19,Engineering,,Online,Yes,Satisfied,Yes,No,No,50
S02462,Male,20,Engineering,,Offline,,Very Dissatisfied,Yes,No,No,100
S02463,Other,19,Medicine,10,Offline,Yes,Neutral,No,No,No,42
S02464,Male,18,,8,Hybrid,Yes,Satisfied,,,Yes,98
S02465,Other,25,Engineering,2,Online,Yes,Dissatisfied,Yes,Yes,,45
S02466,Female,21,Law,1,Hybrid,Yes,Neutral,No,Yes,Yes,48
S02467,Male,20,Medicine,1,Hybrid,Yes,Very Satisfied,No,Yes,No,45
S02468,Other,24,Medicine,8,Hybrid,Yes,Neutral,No,Yes,Yes,48
S02469,Other,22,Commerce,5,Offline,Yes,Satisfied,Yes,Yes,No,78
S02470,Female,23,Commerce,,Hybrid,,Dissatisfied,No,Yes,,70
S02471,Male,20,Medicine,,Online,Yes,Neutral,No,Yes,Yes,71
S02472,Male,25,Arts,0,Offline,Yes,Dissatisfied,No,Yes,No,80
S02473,Male,24,Law,1,Hybrid,Yes,Very Dissatisfied,No,No,,89
S02474,Female,20,Science,1,Online,Yes,Very Satisfied,No,No,Yes,51
S02475,Male,19,Medicine,10,Hybrid,Yes,Very Dissatisfied,No,No,Yes,47
S02476,Female,24,Commerce,1,Hybrid,Yes,Very Satisfied,No,Yes,Yes,47
S02477,Female,22,Law,6,Hybrid,Yes,Very Dissatisfied,No,No,Yes,89
S02478,Female,25,Law,2,Offline,Yes,Dissatisfied,Yes,Yes,No,67
S02479,Other,23,Commerce,12,,Yes,Dissatisfied,Yes,No,,59
S02480,Male,25,Law,10,Online,Yes,Very Dissatisfied,No,Yes,Yes,86
S02481,Male,18,Law,3,Hybrid,Yes,Satisfied,Yes,No,Yes,98
S02482,Female,18,Commerce,1,Hybrid,Yes,Very Dissatisfied,No,Yes,No,46
S02483,Female,20,Engineering,,Offline,Yes,Neutral,No,Yes,Yes,50
S02484,,24,Medicine,8,Hybrid,Yes,Satisfied,Yes,Yes,Yes,59
S02485,,20,Arts,11,Online,Yes,Dissatisfied,Yes,Yes,No,55
S02486,Male,21,Science,8,Online,Yes,Very Dissatisfied,No,Yes,,43
S02487,Other,22,Arts,6,Hybrid,Yes,Satisfied,No,No,,45
S02488,Female,23,Engineering,11,Online,Yes,Neutral,No,No,No,97
S02489,Male,20,Engineering,7,Online,Yes,Very Satisfied,Yes,Yes,No,61
S02490,Female,21,Law,12,Hybrid,Yes,Dissatisfied,Yes,No,No,65
S02491,Male,24,Arts,4,Online,Yes,Satisfied,No,Yes,No,42
S02492,Male,22,Engineering,4,Online,Yes,Satisfied,No,Yes,No,80
S02493,Female,23,Arts,11,Hybrid,Yes,Satisfied,No,No,No,99
S02494,Other,18,Engineering,2,Offline,Yes,Very Dissatisfied,Yes,No,No,81
S02495,Male,21,Science,5,Offline,Yes,Dissatisfied,No,No,Yes,53
S02496,Male,24,Engineering,0,Hybrid,Yes,Dissatisfied,No,Yes,No,50
S02497,Male,22,Arts,2,Offline,Yes,Very Dissatisfied,No,,No,57
S02498,Other,21,Law,,Offline,Yes,Very Dissatisfied,Yes,No,No,93
S02499,Other,20,Arts,1,Offline,Yes,Very Dissatisfied,No,Yes,No,51
S02500,Female,19,Commerce,6,Offline,Yes,Neutral,No,No,No,62
S02501,Other,18,Arts,8,Hybrid,,Satisfied,Yes,Yes,No,51
S02502,Female,20,Science,3,Offline,Yes,Neutral,Yes,Yes,,52
S02503,Female,20,Medicine,6,Offline,Yes,Dissatisfied,Yes,No,No,64
S02504,Other,24,Science,,Hybrid,Yes,Very Dissatisfied,Yes,Yes,Yes,84
S02505,Female,24,Science,,Hybrid,Yes,Satisfied,No,Yes,No,90
S02506,Other,22,Engineering,1,Offline,Yes,Very Satisfied,Yes,Yes,,97
S02507,Female,24,Science,6,Online,Yes,Satisfied,Yes,Yes,Yes,58
S02508,Other,21,,12,Hybrid,Yes,Very Satisfied,No,Yes,Yes,94
S02509,Other,18,Medicine,11,Hybrid,Yes,Satisfied,Yes,Yes,No,85
S02510,Female,20,Law,2,Offline,Yes,Very Dissatisfied,Yes,Yes,Yes,75
S02511,Male,22,Science,7,Online,Yes,Very Satisfied,No,,Yes,84
S02512,Female,25,Arts,5,Hybrid,Yes,Very Satisfied,No,Yes,No,47
S02513,Other,25,Engineering,2,,Yes,Dissatisfied,No,No,,68
S02514,Male,18,,,,Yes,Satisfied,No,No,No,94
S02515,,24,Law,10,Online,Yes,Neutral,Yes,No,Yes,92
S02516,Female,24,Law,12,Hybrid,Yes,Neutral,No,Yes,No,94
S02517,Female,,Arts,2,Hybrid,Yes,Dissatisfied,No,Yes,Yes,71
S02518,Male,24,Law,8,Online,Yes,Dissatisfied,No,,Yes,90
S02519,Other,25,Law,10,Hybrid,Yes,Dissatisfied,Yes,Yes,No,83
S02520,Female,20,Engineering,2,Online,Yes,Very Dissatisfied,No,No,No,57
S02521,Female,25,Arts,,Online,Yes,,Yes,Yes,Yes,45
S02522,Female,23,Medicine,12,Online,Yes,Very Dissatisfied,Yes,Yes,Yes,57
S02523,Female,20,Law,1,Offline,Yes,Very Dissatisfied,No,Yes,No,58
S02524,Female,20,Arts,3,Hybrid,Yes,Dissatisfied,,Yes,,61
S02525,Other,24,Science,12,Hybrid,No,Dissatisfied,No,Yes,No,76
S02526,Other,18,Engineering,10,Hybrid,Yes,Very Dissatisfied,Yes,Yes,No,71
S02527,Female,24,Medicine,1,Online,Yes,Very Dissatisfied,No,No,Yes,95
S02528,Male,18,Engineering,3,Offline,Yes,Very Satisfied,No,No,No,80
S02529,Other,18,Engineering,3,Online,Yes,Satisfied,No,No,Yes,98
S02530,Male,25,Commerce,3,Hybrid,Yes,Very Satisfied,Yes,No,Yes,42
S02531,Other,18,Arts,0,Online,Yes,Satisfied,No,No,No,67
S02532,Female,22,Science,8,,Yes,Very Dissatisfied,Yes,Yes,Yes,49
S02533,Other,19,Law,9,Hybrid,Yes,Very Dissatisfied,Yes,No,,90
S02534,Female,24,Science,10,Online,Yes,Very Dissatisfied,No,Yes,No,74
S02535,Other,22,Arts,6,Offline,Yes,Very Satisfied,,No,No,100
S02536,Female,,Engineering,1,Online,Yes,Dissatisfied,Yes,Yes,No,68
S02537,Female,22,,2,Online,Yes,Satisfied,No,No,No,93
S02538,Female,21,Arts,12,Hybrid,Yes,Very Satisfied,Yes,Yes,No,54
S02539,Female,23,Medicine,7,Offline,Yes,Very Dissatisfied,Yes,Yes,No,72
S02540,Male,18,Medicine,6,Online,,Dissatisfied,No,No,No,46
S02541,Female,24,Arts,3,,Yes,Very Satisfied,No,No,No,51
S02542,Male,21,Law,3,,Yes,Satisfied,No,No,Yes,88
S02543,Male,24,Science,8,Hybrid,Yes,Very Dissatisfied,No,,No,69
S02544,Female,25,Science,,Hybrid,Yes,Satisfied,Yes,No,No,60
S02545,Male,23,Law,12,Offline,Yes,Very Dissatisfied,Yes,,Yes,70
S02546,Other,21,Commerce,10,Offline,Yes,Very Dissatisfied,No,,Yes,97
S02547,Female,24,Engineering,4,Online,Yes,Neutral,Yes,Yes,Yes,100
S02548,Male,20,Engineering,6,Offline,Yes,Satisfied,No,Yes,No,63
S02549,Female,18,Medicine,0,Hybrid,Yes,Dissatisfied,No,Yes,No,59
S02550,Female,21,Commerce,2,Online,Yes,Very Dissatisfied,Yes,Yes,Yes,76
S02551,Female,20,Law,1,Offline,Yes,Dissatisfied,No,Yes,No,43
S02552,Male,18,Arts,10,Hybrid,Yes,Very Satisfied,Yes,Yes,Yes,67
S02553,Other,19,Science,9,Hybrid,Yes,Very Dissatisfied,Yes,No,Yes,83
S02554,Other,20,Arts,5,Online,Yes,Very Dissatisfied,Yes,Yes,No,59
S02555,Male,22,Science,10,Hybrid,Yes,Very Dissatisfied,No,Yes,Yes,99
S02556,Female,24,Arts,11,Offline,Yes,Dissatisfied,Yes,Yes,No,63
S02557,Male,,Law,5,Hybrid,Yes,Neutral,Yes,Yes,No,89
S02558,Male,18,Law,9,Online,Yes,Satisfied,Yes,No,No,88
S02559,Male,21,Commerce,0,Hybrid,No,Very Dissatisfied,No,No,Yes,90
S02560,Female,23,Arts,5,Hybrid,Yes,Satisfied,,Yes,No,71
S02561,Male,21,Arts,9,Offline,Yes,Satisfied,No,Yes,,80
S02562,Female,22,Commerce,,Offline,Yes,Satisfied,Yes,Yes,No,75
S02563,Male,24,Commerce,10,Offline,Yes,Dissatisfied,Yes,No,Yes,97
S02564,Other,22,Law,3,Offline,Yes,Satisfied,Yes,No,Yes,92
S02565,Male,21,Law,5,Hybrid,Yes,Very Satisfied,,Yes,Yes,73
S02566,Male,25,Medicine,2,Offline,Yes,Dissatisfied,No,No,Yes,75
S02567,Other,24,Arts,2,Hybrid,Yes,Dissatisfied,No,Yes,Yes,41
S02568,Female,23,Law,,Offline,Yes,Very Satisfied,Yes,,Yes,54
S02569,Female,18,Law,2,Offline,Yes,Neutral,Yes,Yes,Yes,73
S02570,Male,24,,3,Offline,Yes,Neutral,Yes,Yes,No,75
S02571,Other,20,Commerce,8,Hybrid,Yes,Very Dissatisfied,No,Yes,Yes,45
S02572,Female,24,Arts,3,Offline,Yes,Neutral,No,Yes,Yes,78
S02573,Male,22,Engineering,12,Hybrid,,Very Dissatisfied,No,No,Yes,81
S02574,Other,22,Arts,3,Offline,Yes,Satisfied,Yes,No,Yes,90
S02575,Female,22,,3,Offline,No,Very Dissatisfied,No,Yes,No,90
S02576,Female,23,Arts,6,Online,Yes,Neutral,Yes,Yes,Yes,97
S02577,Other,24,Engineering,4,Offline,Yes,Very Dissatisfied,Yes,Yes,No,93
S02578,Other,25,Engineering,11,Hybrid,,Dissatisfied,Yes,Yes,Yes,100
S02579,Other,25,Arts,1,Online,Yes,Neutral,Yes,Yes,Yes,51
S02580,Other,24,Medicine,6,Hybrid,Yes,Very Dissatisfied,Yes,Yes,No,42
S02581,Male,25,Law,2,Hybrid,Yes,Neutral,No,No,Yes,84
S02582,Other,19,Science,10,Online,Yes,Very Satisfied,No,No,Yes,57
S02583,Female,23,Law,0,,Yes,Neutral,Yes,Yes,Yes,79
S02584,Female,18,Engineering,8,Online,Yes,Very Satisfied,No,No,No,60
S02585,Male,18,Arts,4,Hybrid,Yes,Very Dissatisfied,Yes,No,Yes,54
S02586,Female,18,Arts,,Offline,Yes,Very Satisfied,Yes,Yes,No,72
S02587,Female,18,Arts,0,Online,No,Neutral,No,Yes,Yes,74
S02588,Other,18,Arts,10,Hybrid,Yes,Dissatisfied,Yes,No,No,65
S02589,Female,25,Medicine,0,,Yes,Very Satisfied,,No,Yes,47
S02590,Male,21,,0,Hybrid,No,Neutral,Yes,Yes,Yes,75
S02591,Other,22,Commerce,11,Offline,Yes,Dissatisfied,No,No,No,87
S02592,Other,23,,8,Offline,Yes,Satisfied,Yes,Yes,No,69
S02593,Male,21,Science,12,Online,Yes,Very Satisfied,Yes,Yes,Yes,62
S02594,Other,23,Law,7,Offline,Yes,Very Satisfied,,No,Yes,81
S02595,Other,19,Commerce,10,Hybrid,,Very Dissatisfied,Yes,No,No,83
S02596,Male,24,Commerce,12,Offline,Yes,Satisfied,Yes,No,No,53
S02597,Other,,Arts,12,,Yes,Very Dissatisfied,No,No,,53
S02598,Male,22,Science,5,Offline,Yes,Very Dissatisfied,No,Yes,Yes,41
S02599,Male,19,Law,9,Offline,Yes,Neutral,No,,No,94
S02600,Female,21,Arts,5,Online,Yes,,Yes,Yes,Yes,76
S02601,Female,20,Arts,5,Offline,Yes,Very Satisfied,Yes,Yes,No,44
S02602,Other,24,Medicine,3,Offline,Yes,Very Dissatisfied,No,No,Yes,77
S02603,Other,19,Engineering,4,Hybrid,Yes,Dissatisfied,Yes,Yes,Yes,84
S02604,Male,24,Commerce,9,Hybrid,Yes,Very Satisfied,No,Yes,Yes,80
S02605,Other,24,Law,,Hybrid,Yes,Neutral,No,No,Yes,93
S02606,Male,25,Commerce,2,Offline,Yes,Very Dissatisfied,Yes,Yes,,99
S02607,Male,23,Science,9,Hybrid,Yes,Dissatisfied,Yes,Yes,No,100
S02608,Other,20,Engineering,6,Hybrid,Yes,Dissatisfied,Yes,No,No,86
S02609,Male,23,Arts,4,Offline,Yes,Very Satisfied,No,No,No,53
S02610,Female,,Engineering,7,Hybrid,Yes,Very Dissatisfied,Yes,No,Yes,95
S02611,Other,25,Arts,4,Online,Yes,,Yes,No,No,78
S02612,Female,19,Engineering,11,Online,Yes,Very Dissatisfied,No,Yes,Yes,64
S02613,,24,Arts,3,Hybrid,Yes,,Yes,Yes,Yes,59
S02614,Male,21,Commerce,2,Hybrid,No,Satisfied,No,Yes,Yes,41
S02615,Other,24,Commerce,11,Hybrid,Yes,Dissatisfied,Yes,No,Yes,78
S02616,Female,23,,1,Offline,,Neutral,No,Yes,No,45
S02617,Male,20,Commerce,2,Online,Yes,Very Dissatisfied,Yes,No,Yes,56
S02618,Other,19,Engineering,6,Online,Yes,Very Satisfied,Yes,Yes,Yes,98
S02619,Other,,Arts,7,Hybrid,Yes,Very Satisfied,No,No,No,64
S02620,Other,24,Commerce,4,Hybrid,,Neutral,Yes,Yes,Yes,96
S02621,Female,21,Engineering,10,Offline,Yes,Satisfied,Yes,No,No,67
S02622,Female,22,Arts,0,Offline,Yes,Very Dissatisfied,Yes,No,No,41
S02623,,25,Engineering,2,Online,Yes,Satisfied,No,No,No,74
S02624,Male,21,Medicine,3,Offline,Yes,Very Satisfied,Yes,No,No,76
S02625,Male,24,Commerce,9,Online,Yes,,No,Yes,Yes,44
S02626,Female,21,Science,12,Hybrid,,Satisfied,,Yes,No,40
S02627,Male,25,Engineering,12,Hybrid,Yes,Dissatisfied,No,Yes,Yes,79
S02628,Female,22,Commerce,11,Online,Yes,Neutral,No,,,51
S02629,Other,,Law,3,Hybrid,Yes,,Yes,No,No,95
S02630,Female,22,Arts,11,Offline,Yes,,No,No,Yes,75
S02631,Female,24,Medicine,0,Hybrid,Yes,Very Dissatisfied,No,Yes,Yes,84
S02632,Other,22,Commerce,9,Hybrid,Yes,Very Satisfied,No,No,No,62
S02633,Male,23,,8,Online,Yes,Neutral,Yes,No,No,86
S02634,Female,23,Engineering,11,Offline,Yes,Very Dissatisfied,No,No,Yes,70
S02635,Female,22,Engineering,9,Offline,Yes,Very Satisfied,No,No,No,50
S02636,Other,19,Law,3,Hybrid,Yes,Satisfied,Yes,No,,49
S02637,Male,20,Medicine,1,Hybrid,Yes,Very Satisfied,No,,No,42
S02638,Female,19,Law,12,Offline,Yes,Very Dissatisfied,Yes,Yes,No,93
S02639,Other,22,Arts,8,Offline,Yes,Dissatisfied,No,Yes,,53
S02640,Female,20,Engineering,,Online,,Dissatisfied,Yes,No,Yes,55
S02641,Other,23,Law,3,Hybrid,Yes,Very Satisfied,Yes,Yes,Yes,49
S02642,Male,20,Science,10,Hybrid,Yes,Very Satisfied,No,Yes,No,68
S02643,Male,22,Science,5,,Yes,Neutral,No,No,No,49
S02644,Male,23,Law,7,Online,,Satisfied,No,No,Yes,51
S02645,Male,20,Arts,4,Offline,,Neutral,Yes,No,No,69
S02646,Female,20,Engineering,11,Hybrid,Yes,Neutral,Yes,Yes,Yes,80
S02647,Female,19,Science,7,Hybrid,Yes,Dissatisfied,,Yes,No,40
S02648,Male,20,Law,0,Hybrid,Yes,Dissatisfied,Yes,Yes,Yes,44
S02649,Male,24,Law,12,Hybrid,Yes,,No,No,Yes,59
S02650,Male,22,Commerce,3,Online,Yes,Neutral,Yes,Yes,No,47
S02651,Female,18,Law,0,Hybrid,Yes,Very Dissatisfied,Yes,Yes,No,82
S02652,Male,18,Arts,2,Offline,Yes,Very Satisfied,No,No,No,51
S02653,Male,18,Science,10,Online,Yes,Very Dissatisfied,Yes,Yes,Yes,40
S02654,,22,Commerce,6,Online,Yes,Dissatisfied,No,Yes,Yes,96
S02655,Other,18,Science,0,Hybrid,Yes,Neutral,No,No,No,93
S02656,Male,19,Science,4,Online,Yes,Dissatisfied,No,No,Yes,59
S02657,Other,22,Arts,0,Hybrid,Yes,Very Satisfied,No,No,Yes,67
S02658,Other,24,Law,5,Online,Yes,Satisfied,Yes,Yes,No,96
S02659,Male,23,Arts,,Online,Yes,Neutral,No,Yes,No,82
S02660,Other,24,Law,2,Offline,Yes,,No,Yes,No,76
S02661,Male,22,Commerce,10,Offline,Yes,Satisfied,Yes,Yes,Yes,86
S02662,Female,22,Arts,10,Offline,Yes,Very Satisfied,Yes,No,Yes,76
S02663,Female,,Arts,11,Online,Yes,Satisfied,Yes,No,Yes,51
S02664,Female,20,Medicine,5,Offline,Yes,,Yes,No,Yes,76
S02665,Female,20,Engineering,3,Offline,Yes,Dissatisfied,,Yes,Yes,88
S02666,Other,,Arts,5,Offline,Yes,Very Satisfied,Yes,,No,88
S02667,Male,25,Medicine,1,Online,Yes,Very Satisfied,Yes,Yes,Yes,95
S02668,Male,21,Engineering,3,Hybrid,Yes,Satisfied,No,Yes,Yes,83
S02669,Male,25,Law,12,Offline,Yes,Satisfied,No,Yes,No,95
S02670,Female,19,Law,12,Online,Yes,Dissatisfied,,Yes,Yes,67
S02671,Female,22,Law,6,Online,Yes,Very Satisfied,Yes,Yes,Yes,86
S02672,Male,24,Medicine,,Hybrid,Yes,Very Dissatisfied,Yes,Yes,No,54
S02673,Female,22,,5,Offline,Yes,Very Satisfied,No,No,No,45
S02674,Male,20,Engineering,8,Online,Yes,Neutral,,No,Yes,83
S02675,Male,22,Law,10,Online,,Neutral,Yes,No,No,98
S02676,Male,23,Science,6,,Yes,Very Satisfied,Yes,Yes,Yes,100
S02677,Male,25,Arts,0,Hybrid,Yes,Satisfied,No,No,No,59
S02678,Male,22,Medicine,5,Offline,Yes,Neutral,Yes,No,,89
S02679,Male,24,Medicine,10,Online,Yes,Dissatisfied,Yes,Yes,No,53
S02680,Male,18,,2,Online,Yes,Dissatisfied,No,No,No,41
S02681,Female,23,Engineering,7,Online,Yes,Dissatisfied,Yes,No,Yes,48
S02682,Male,23,Law,12,Online,Yes,Very Satisfied,No,,Yes,76
S02683,Male,22,Science,0,Offline,No,Neutral,No,Yes,No,59
S02684,Female,21,Arts,9,Offline,Yes,Satisfied,Yes,Yes,Yes,65
S02685,Female,20,Arts,1,Online,,Dissatisfied,Yes,Yes,Yes,68
S02686,Female,19,Law,2,Online,Yes,Satisfied,Yes,No,Yes,40
S02687,Male,19,Science,2,Online,Yes,Dissatisfied,Yes,No,No,94
S02688,Other,18,Engineering,6,Hybrid,Yes,Very Satisfied,Yes,Yes,Yes,74
S02689,Other,19,Medicine,12,Hybrid,Yes,Dissatisfied,Yes,No,No,45
S02690,Female,19,Medicine,,Hybrid,Yes,Very Satisfied,No,Yes,Yes,76
S02691,Other,20,Law,8,Online,Yes,Neutral,Yes,Yes,Yes,92
S02692,Female,25,Arts,6,Hybrid,Yes,Neutral,Yes,No,Yes,98
S02693,Male,20,Medicine,7,Offline,Yes,Satisfied,No,Yes,No,44
S02694,Other,21,Arts,10,Hybrid,Yes,Dissatisfied,Yes,Yes,No,72
S02695,Male,24,Arts,5,Online,Yes,Neutral,No,Yes,Yes,88
S02696,Other,18,Law,1,Offline,Yes,Very Dissatisfied,Yes,Yes,No,90
S02697,Male,19,Commerce,0,Online,Yes,Very Dissatisfied,No,No,Yes,53
S02698,Other,21,Commerce,2,Offline,Yes,Satisfied,Yes,,No,51
S02699,Male,18,,8,Hybrid,Yes,Neutral,Yes,No,Yes,81
S02700,Male,23,Science,12,Hybrid,Yes,Very Satisfied,Yes,Yes,No,59
S02701,Other,19,Law,6,Offline,Yes,Very Dissatisfied,,No,Yes,92
S02702,Male,19,Arts,1,Offline,Yes,Neutral,No,,No,89
S02703,Male,20,Medicine,0,Online,Yes,Very Satisfied,No,Yes,Yes,63
S02704,Male,22,Science,1,Offline,Yes,Dissatisfied,No,Yes,Yes,98
S02705,Other,18,Commerce,,Online,,Neutral,No,Yes,Yes,82
S02706,Other,19,Engineering,5,Offline,Yes,Dissatisfied,Yes,Yes,No,73
S02707,Male,25,Science,11,Offline,Yes,Very Dissatisfied,No,Yes,Yes,64
S02708,Male,18,Science,8,Hybrid,Yes,Dissatisfied,,No,No,89
