Student_ID,Gender,Age,Field_of_Study,Study_Hours_per_Day,Mode_of_Learning,Internet_Access,Satisfied_with_Learning_Environment,Participates_in_Extracurriculars,Feels_Stressed,Would_Recommend_Institute
S02951,Male,23.0,Commerce,1.0,Offline,Yes,Dissatisfied,No,No,No
S02952,Male,,Commerce,,Offline,Yes,Very Dissatisfied,Yes,Yes,Yes
S02953,Female,20.0,Medicine,7.0,,Yes,Neutral,No,Yes,No
S02954,Female,19.0,Engineering,7.0,Offline,Yes,Neutral,No,Yes,Yes
S02955,Other,18.0,Engineering,10.0,Hybrid,Yes,,Yes,,No
S02956,Male,22.0,Science,1.0,Offline,Yes,Dissatisfied,Yes,Yes,Yes
S02957,Other,21.0,Arts,5.0,Online,Yes,Very Dissatisfied,No,Yes,No
S02958,Male,20.0,Commerce,11.0,Offline,Yes,Dissatisfied,No,No,Yes
S02959,Female,19.0,Medicine,4.0,Online,Yes,Very Satisfied,No,Yes,
S02960,Female,18.0,Arts,6.0,Hybrid,No,Neutral,No,No,Yes
S02961,Female,21.0,Medicine,3.0,Hybrid,,Very Satisfied,Yes,No,Yes
S02962,Male,19.0,Arts,11.0,Hybrid,Yes,Satisfied,Yes,No,Yes
S02963,Female,23.0,Commerce,12.0,Hybrid,Yes,Very Satisfied,Yes,,Yes
S02964,Male,22.0,Medicine,1.0,,Yes,Very Satisfied,Yes,,No
S02965,Other,23.0,Engineering,9.0,Offline,Yes,Very Satisfied,No,No,No
S02966,Male,22.0,Science,2.0,Offline,Yes,Dissatisfied,Yes,Yes,Yes
S02967,Other,21.0,Medicine,8.0,Online,,Very Satisfied,No,Yes,Yes
S02968,Male,25.0,Law,9.0,Offline,Yes,Neutral,Yes,Yes,No
S02969,Other,23.0,Commerce,7.0,Online,Yes,Very Dissatisfied,Yes,Yes,No
S02970,Female,22.0,Commerce,12.0,,,Satisfied,Yes,Yes,No
S02971,Other,20.0,Law,8.0,Offline,Yes,Neutral,No,Yes,Yes
S02972,Female,21.0,Arts,4.0,Online,Yes,Very Dissatisfied,Yes,Yes,Yes
S02973,Female,22.0,Science,12.0,Hybrid,Yes,Neutral,Yes,Yes,Yes
S02974,Other,18.0,Arts,4.0,Offline,Yes,Very Satisfied,Yes,No,No
S02975,Male,22.0,Law,6.0,Offline,Yes,Satisfied,Yes,Yes,Yes
S02976,Male,23.0,Law,6.0,Online,Yes,Neutral,No,Yes,Yes
S02977,Male,20.0,Science,0.0,Offline,Yes,Satisfied,,No,Yes
S02978,Male,19.0,,11.0,Offline,Yes,Dissatisfied,Yes,No,
S02979,Male,25.0,Law,4.0,,Yes,Dissatisfied,No,Yes,No
S02980,Female,19.0,Medicine,7.0,Offline,Yes,,No,No,No
S02981,Male,22.0,Science,6.0,Offline,Yes,Very Satisfied,No,,Yes
S02982,Female,19.0,Commerce,10.0,Offline,No,Dissatisfied,Yes,Yes,No
S02983,,22.0,Arts,1.0,Online,Yes,Neutral,Yes,No,No
S02984,Female,20.0,Commerce,7.0,Offline,Yes,Very Dissatisfied,No,Yes,Yes
S02985,Other,19.0,Commerce,1.0,Offline,Yes,Very Dissatisfied,No,No,No
S02986,Other,23.0,Medicine,9.0,Offline,Yes,Dissatisfied,Yes,Yes,Yes
S02987,Female,23.0,Arts,0.0,Hybrid,Yes,Very Dissatisfied,Yes,No,Yes
S02988,Other,18.0,Commerce,10.0,Offline,Yes,Neutral,No,Yes,Yes
S02989,Male,22.0,Science,10.0,Online,Yes,Very Dissatisfied,No,Yes,Yes
S02990,Male,19.0,Arts,10.0,,Yes,Very Dissatisfied,No,No,No
S02991,Female,23.0,Engineering,2.0,Online,Yes,Dissatisfied,Yes,No,
S02992,Male,24.0,Medicine,2.0,Offline,Yes,Satisfied,Yes,No,
S02993,Female,20.0,Commerce,5.0,Offline,Yes,Satisfied,No,Yes,No
S02994,Female,25.0,Law,11.0,Offline,Yes,Neutral,No,Yes,No
S02995,Male,20.0,Arts,2.0,Hybrid,Yes,Satisfied,No,No,Yes
S02996,Other,24.0,Engineering,6.0,,Yes,Very Satisfied,Yes,Yes,Yes
S02997,Male,24.0,Law,7.0,Online,Yes,Dissatisfied,Yes,Yes,
S02998,Male,18.0,Engineering,2.0,Hybrid,Yes,Satisfied,No,Yes,No
S02999,Female,20.0,Commerce,8.0,Online,Yes,,Yes,No,Yes
S03000,Female,20.0,Law,0.0,Online,Yes,Satisfied,Yes,Yes,Yes
S03001,Female,19.0,Commerce,2.0,Online,Yes,Dissatisfied,Yes,No,Yes
S03002,Female,,Law,11.0,Online,Yes,Very Dissatisfied,Yes,Yes,No
S03003,Other,21.0,Arts,2.0,Online,Yes,Very Dissatisfied,No,,Yes
S03004,Other,25.0,,6.0,Offline,Yes,Dissatisfied,Yes,No,No
S03005,Other,20.0,Science,10.0,Online,Yes,Neutral,No,Yes,Yes
S03006,Female,25.0,Engineering,,Online,Yes,Neutral,No,Yes,Yes
S03007,Female,25.0,Medicine,4.0,Offline,Yes,Dissatisfied,No,Yes,No
S03008,Female,25.0,Law,3.0,Hybrid,Yes,Dissatisfied,Yes,Yes,No
S03009,Other,20.0,Commerce,1.0,Offline,Yes,Dissatisfied,Yes,No,Yes
S03010,Female,21.0,Medicine,6.0,Hybrid,Yes,Very Dissatisfied,No,Yes,No
S03011,Male,20.0,Arts,2.0,Online,Yes,Very Dissatisfied,No,Yes,No
S03012,Male,19.0,Arts,6.0,Offline,Yes,Dissatisfied,No,Yes,Yes
S03013,Female,19.0,Arts,9.0,Hybrid,Yes,Very Dissatisfied,No,No,No
S03014,Male,21.0,Science,11.0,Hybrid,Yes,Very Satisfied,Yes,No,No
S03015,Male,23.0,Commerce,6.0,Offline,Yes,Dissatisfied,Yes,No,
S03016,Other,20.0,Arts,10.0,Offline,Yes,Very Dissatisfied,Yes,Yes,Yes
S03017,Female,23.0,Arts,1.0,Offline,Yes,Neutral,Yes,Yes,Yes
S03018,Female,25.0,,6.0,Offline,Yes,Dissatisfied,No,Yes,Yes
S03019,Other,20.0,Law,5.0,Offline,Yes,Dissatisfied,Yes,Yes,Yes
S03020,Male,22.0,Law,9.0,Online,Yes,Dissatisfied,No,Yes,Yes
S03021,Male,20.0,Law,3.0,Online,No,Satisfied,Yes,No,Yes
S03022,Female,19.0,Medicine,10.0,Offline,Yes,Dissatisfied,Yes,No,Yes
S03023,Male,18.0,Engineering,4.0,Offline,Yes,Neutral,No,No,Yes
S03024,Other,24.0,Science,11.0,Online,Yes,Very Dissatisfied,No,Yes,Yes
S03025,Other,18.0,Medicine,7.0,Hybrid,Yes,Dissatisfied,No,Yes,Yes
S03026,Female,18.0,Engineering,4.0,Online,Yes,Very Satisfied,,,No
S03027,Other,18.0,Arts,2.0,Offline,Yes,Very Dissatisfied,No,No,No
S03028,Other,24.0,Commerce,1.0,Hybrid,Yes,Neutral,No,No,Yes
S03029,,23.0,Medicine,5.0,,Yes,Satisfied,Yes,No,No
S03030,Other,24.0,Medicine,5.0,,Yes,Neutral,No,No,
S03031,Other,23.0,Arts,6.0,Offline,Yes,Satisfied,No,No,No
S03032,Other,24.0,Arts,7.0,Online,Yes,Very Dissatisfied,Yes,Yes,Yes
S03033,Male,24.0,Commerce,3.0,Offline,Yes,,No,Yes,Yes
S03034,Female,20.0,,11.0,Online,Yes,Very Dissatisfied,No,No,No
S03035,Female,23.0,Medicine,7.0,Hybrid,,Neutral,No,No,No
S03036,Female,20.0,Engineering,11.0,Online,Yes,Neutral,No,No,No
S03037,,22.0,Science,0.0,Hybrid,Yes,Satisfied,Yes,Yes,
S03038,Male,20.0,Arts,5.0,Offline,Yes,Very Satisfied,No,Yes,Yes
S03039,Female,18.0,Arts,5.0,Online,Yes,Neutral,No,Yes,No
S03040,Male,21.0,Science,2.0,Hybrid,Yes,Satisfied,Yes,Yes,Yes
S03041,Female,21.0,Engineering,8.0,Hybrid,Yes,Dissatisfied,Yes,No,No
S03042,Male,19.0,Arts,11.0,Hybrid,Yes,Very Dissatisfied,Yes,Yes,Yes
S03043,Other,19.0,Science,11.0,Hybrid,Yes,Dissatisfied,No,No,No
S03044,Other,25.0,Arts,4.0,Offline,Yes,Dissatisfied,Yes,Yes,Yes
S03045,Female,20.0,Law,0.0,Offline,Yes,Dissatisfied,No,Yes,Yes
S03046,Male,,Law,6.0,Offline,Yes,Satisfied,Yes,Yes,Yes
S03047,Male,24.0,Arts,9.0,Hybrid,No,Neutral,No,Yes,No
S03048,Other,21.0,Arts,2.0,Offline,Yes,Dissatisfied,No,No,No
S03049,Other,18.0,Law,9.0,,Yes,Satisfied,Yes,Yes,No
S03050,Male,23.0,Arts,9.0,,Yes,Neutral,Yes,Yes,No
S03051,Male,18.0,Engineering,,Hybrid,Yes,Very Dissatisfied,Yes,No,Yes
S03052,Male,25.0,Engineering,3.0,Online,Yes,Neutral,Yes,Yes,No
S03053,Male,18.0,Commerce,5.0,Offline,Yes,Neutral,No,Yes,No
S03054,Male,20.0,Engineering,7.0,Offline,Yes,Dissatisfied,Yes,Yes,Yes
S03055,Male,20.0,Medicine,12.0,Online,Yes,,No,,Yes
S03056,Female,22.0,Medicine,3.0,Online,,Very Satisfied,No,No,No
S03057,Male,25.0,Medicine,11.0,Online,Yes,Very Dissatisfied,Yes,No,No
S03058,Other,18.0,Arts,8.0,Online,Yes,Satisfied,No,No,No
S03059,Female,24.0,Arts,7.0,Hybrid,Yes,Dissatisfied,Yes,Yes,Yes
S03060,Male,24.0,Science,9.0,Offline,Yes,Satisfied,Yes,Yes,Yes
S03061,Other,25.0,Medicine,9.0,,Yes,Very Satisfied,Yes,No,No
S03062,Female,18.0,Medicine,5.0,Offline,Yes,Very Dissatisfied,Yes,No,No
S03063,Other,20.0,,6.0,Hybrid,Yes,Neutral,No,No,No
S03064,Male,,Law,7.0,Offline,Yes,Very Dissatisfied,Yes,Yes,No
S03065,Male,22.0,Law,1.0,Online,Yes,Very Satisfied,No,,Yes
S03066,Male,22.0,Commerce,4.0,Offline,Yes,Very Dissatisfied,No,Yes,Yes
S03067,Male,19.0,,12.0,Offline,Yes,Very Dissatisfied,Yes,Yes,No
S03068,Female,25.0,Law,6.0,Hybrid,Yes,Dissatisfied,Yes,Yes,No
S03069,Female,21.0,Commerce,7.0,Online,Yes,,No,No,Yes
S03070,Other,18.0,Engineering,4.0,Online,Yes,Very Satisfied,No,Yes,Yes
S03071,Male,25.0,Science,2.0,Online,Yes,Dissatisfied,Yes,Yes,No
S03072,Other,24.0,Science,5.0,Offline,Yes,Very Dissatisfied,No,No,Yes
S03073,Female,18.0,Medicine,4.0,Online,Yes,Very Dissatisfied,Yes,Yes,Yes
S03074,Male,22.0,Arts,7.0,Online,Yes,Satisfied,No,Yes,Yes
S03075,,22.0,Medicine,8.0,Offline,Yes,Dissatisfied,No,No,Yes
S03076,Female,19.0,Engineering,8.0,Hybrid,Yes,Very Satisfied,No,No,No
S03077,Female,21.0,Medicine,11.0,Offline,Yes,,Yes,Yes,Yes
S03078,Female,19.0,,11.0,Hybrid,No,Very Satisfied,No,No,No
S03079,Female,24.0,Medicine,5.0,Hybrid,Yes,Very Satisfied,Yes,Yes,Yes
S03080,Female,21.0,Commerce,,Online,Yes,Very Dissatisfied,No,,Yes
S03081,Male,23.0,Medicine,3.0,Online,Yes,Very Dissatisfied,No,Yes,No
S03082,Female,18.0,Law,8.0,Offline,,Dissatisfied,No,Yes,Yes
S03083,Male,19.0,Engineering,3.0,Hybrid,Yes,Neutral,Yes,Yes,No
S03084,,22.0,Engineering,7.0,Offline,Yes,Very Satisfied,Yes,No,No
S03085,Female,19.0,Science,8.0,Online,Yes,Very Dissatisfied,Yes,No,Yes
S03086,Female,23.0,Medicine,4.0,Hybrid,Yes,,Yes,No,No
S03087,Male,19.0,Science,12.0,Online,Yes,Very Satisfied,No,Yes,No
S03088,Female,18.0,Science,5.0,Online,Yes,Neutral,No,No,Yes
S03089,Female,23.0,Commerce,2.0,Online,,Very Satisfied,,Yes,No
S03090,Female,25.0,Arts,11.0,Hybrid,Yes,Satisfied,No,Yes,Yes
S03091,Other,25.0,Science,4.0,Hybrid,Yes,Very Satisfied,No,Yes,No
S03092,Male,25.0,Arts,4.0,Online,Yes,Satisfied,Yes,Yes,No
S03093,Other,22.0,Arts,1.0,Hybrid,Yes,Neutral,Yes,Yes,Yes
S03094,Female,22.0,Engineering,9.0,Online,Yes,Satisfied,Yes,No,No
S03095,Other,25.0,Law,5.0,Online,Yes,Neutral,No,Yes,Yes
S03096,Female,25.0,Law,,,Yes,Dissatisfied,No,Yes,Yes
S03097,Other,25.0,Medicine,10.0,Hybrid,Yes,Satisfied,Yes,No,No
S03098,Female,20.0,Commerce,6.0,Offline,,Very Satisfied,No,Yes,No
S03099,Other,25.0,Commerce,7.0,Offline,Yes,Very Satisfied,Yes,Yes,Yes
S03100,Other,23.0,Law,1.0,Hybrid,Yes,Dissatisfied,No,Yes,Yes
S03101,Other,20.0,Medicine,10.0,Hybrid,Yes,Very Dissatisfied,Yes,Yes,No
S03102,Male,20.0,Law,12.0,Online,Yes,Neutral,Yes,No,No
S03103,Other,18.0,Medicine,8.0,Online,Yes,Very Dissatisfied,Yes,No,Yes
S03104,Male,19.0,Medicine,2.0,Offline,Yes,Very Dissatisfied,No,Yes,No
S03105,Female,22.0,Medicine,9.0,Online,,Dissatisfied,Yes,Yes,Yes
S03106,Other,22.0,Medicine,4.0,Offline,No,Dissatisfied,Yes,Yes,No
S03107,Female,19.0,Engineering,6.0,Offline,Yes,Satisfied,Yes,Yes,Yes
S03108,Female,22.0,Engineering,3.0,Hybrid,Yes,,No,,No
S03109,Other,19.0,Law,6.0,Hybrid,Yes,Satisfied,Yes,Yes,No
S03110,Male,23.0,,7.0,Hybrid,Yes,,No,No,No
S03111,Other,18.0,Science,12.0,Offline,,,Yes,Yes,Yes
S03112,Female,25.0,Medicine,9.0,Hybrid,Yes,Very Satisfied,No,Yes,No
S03113,,18.0,,9.0,Offline,Yes,Dissatisfied,No,Yes,Yes
S03114,Other,24.0,,3.0,Hybrid,,Neutral,Yes,Yes,Yes
S03115,Male,18.0,Medicine,4.0,Offline,Yes,Neutral,Yes,Yes,No
S03116,Male,19.0,Arts,10.0,Online,Yes,Neutral,No,No,No
S03117,Female,24.0,Law,2.0,Online,Yes,Neutral,No,Yes,No
S03118,Female,19.0,Medicine,4.0,Offline,Yes,Neutral,No,Yes,
S03119,Male,25.0,Commerce,7.0,Offline,Yes,Very Satisfied,Yes,Yes,No
S03120,Other,21.0,Science,2.0,Online,Yes,Dissatisfied,Yes,Yes,Yes
S03121,Female,24.0,Medicine,12.0,Offline,Yes,Satisfied,,,
S03122,Male,25.0,Arts,4.0,Offline,Yes,Satisfied,Yes,Yes,Yes
S03123,Female,25.0,Science,9.0,Online,Yes,Satisfied,Yes,Yes,No
S03124,Other,,,0.0,Offline,Yes,Dissatisfied,Yes,Yes,Yes
S03125,,22.0,Law,1.0,Hybrid,Yes,Dissatisfied,No,No,No
S03126,Female,21.0,,2.0,Online,Yes,Very Satisfied,Yes,Yes,Yes
S03127,Other,21.0,Law,0.0,Hybrid,Yes,Very Satisfied,Yes,No,No
S03128,Female,,Engineering,12.0,Offline,Yes,,No,No,No
S03129,Other,25.0,Arts,10.0,Offline,Yes,Dissatisfied,No,No,No
S03130,Other,21.0,Medicine,11.0,Hybrid,Yes,Satisfied,No,Yes,No
S03131,Male,19.0,Commerce,10.0,Offline,Yes,Very Satisfied,Yes,No,Yes
S03132,Other,25.0,Commerce,8.0,Offline,Yes,Satisfied,Yes,Yes,No
S03133,Female,20.0,Law,8.0,Hybrid,Yes,Very Satisfied,Yes,Yes,No
S03134,Other,19.0,Commerce,4.0,Offline,Yes,Very Dissatisfied,No,No,No
S03135,Other,,Science,3.0,Online,Yes,Neutral,No,Yes,No
S03136,Male,21.0,Arts,4.0,Hybrid,Yes,Very Dissatisfied,Yes,Yes,Yes
S03137,Other,22.0,Arts,3.0,Hybrid,Yes,Satisfied,Yes,Yes,Yes
S03138,Other,19.0,Arts,11.0,Hybrid,Yes,Satisfied,Yes,Yes,No
S03139,Female,22.0,,4.0,Hybrid,Yes,Dissatisfied,No,No,Yes
S03140,Male,19.0,Medicine,6.0,Online,Yes,Neutral,No,Yes,No
S03141,Male,22.0,Engineering,10.0,Hybrid,Yes,Very Satisfied,Yes,No,
S03142,Male,23.0,Science,7.0,Hybrid,Yes,Satisfied,No,,Yes
S03143,Other,19.0,Arts,1.0,Offline,Yes,Very Satisfied,No,No,No
S03144,Male,24.0,Arts,3.0,Hybrid,Yes,Very Satisfied,Yes,No,No
S03145,Other,22.0,Arts,7.0,Offline,,Very Satisfied,Yes,Yes,Yes
S03146,Other,20.0,Medicine,6.0,Hybrid,Yes,Very Dissatisfied,Yes,Yes,Yes
S03147,Female,24.0,Commerce,8.0,Hybrid,Yes,Very Satisfied,Yes,Yes,No
S03148,Female,18.0,Engineering,4.0,Online,Yes,Dissatisfied,Yes,No,No
S03149,Female,19.0,Science,5.0,Offline,Yes,Very Dissatisfied,Yes,Yes,No
S03150,Female,20.0,Arts,10.0,Online,Yes,Very Dissatisfied,Yes,No,No
S03151,Female,18.0,Law,7.0,Offline,Yes,Satisfied,Yes,Yes,No
S03152,Other,19.0,Engineering,11.0,Hybrid,Yes,Neutral,No,Yes,No
S03153,Other,20.0,Law,10.0,Online,Yes,Neutral,Yes,Yes,No
S03154,Male,20.0,Engineering,4.0,Offline,Yes,Satisfied,No,No,No
S03155,Other,24.0,Arts,8.0,Offline,,Neutral,Yes,No,Yes
S03156,Other,23.0,Engineering,3.0,Online,Yes,Very Satisfied,No,No,Yes
S03157,Female,,Engineering,7.0,Offline,Yes,Dissatisfied,,Yes,No
S03158,Other,23.0,Arts,11.0,Hybrid,Yes,Very Satisfied,No,Yes,No
S03159,Female,21.0,Medicine,2.0,Offline,Yes,Neutral,Yes,Yes,No
S03160,,24.0,Law,4.0,Hybrid,Yes,Neutral,Yes,No,No
S03161,,25.0,Medicine,7.0,Offline,Yes,Dissatisfied,No,Yes,No
S03162,Other,22.0,Law,9.0,Online,No,Very Dissatisfied,No,No,Yes
S03163,Male,24.0,Commerce,11.0,Hybrid,Yes,Very Dissatisfied,No,Yes,Yes
S03164,Other,18.0,Law,6.0,Offline,Yes,Dissatisfied,Yes,Yes,Yes
S03165,Male,22.0,Law,0.0,Hybrid,Yes,Very Dissatisfied,No,No,No
S03166,Female,22.0,Engineering,11.0,,Yes,Neutral,No,No,Yes
S03167,Female,25.0,Commerce,3.0,Offline,Yes,Very Dissatisfied,Yes,Yes,No
S03168,Female,23.0,Arts,1.0,Offline,,Neutral,Yes,Yes,No
S03169,Female,25.0,Arts,1.0,,Yes,Satisfied,Yes,,Yes
S03170,Other,,Science,12.0,Online,Yes,Very Satisfied,Yes,No,Yes
S03171,Male,22.0,Commerce,6.0,,Yes,,,No,No
S03172,Other,20.0,Engineering,11.0,Offline,,Satisfied,Yes,Yes,Yes
S03173,Female,23.0,Science,11.0,Hybrid,Yes,,Yes,Yes,No
S03174,Other,22.0,Science,2.0,Offline,Yes,Satisfied,No,Yes,Yes
S03175,Male,23.0,Arts,2.0,Offline,Yes,Dissatisfied,Yes,Yes,Yes
S03176,Other,,Law,5.0,Hybrid,Yes,Satisfied,No,Yes,No
S03177,Male,23.0,Engineering,,Online,Yes,Neutral,No,Yes,No
S03178,Other,19.0,Commerce,,Offline,Yes,Dissatisfied,No,No,Yes
S03179,Male,20.0,,0.0,Offline,Yes,Dissatisfied,No,Yes,No
S03180,Male,18.0,Engineering,,Hybrid,Yes,Neutral,Yes,No,Yes
S03181,Female,19.0,Arts,5.0,Hybrid,Yes,Very Dissatisfied,,No,Yes
S03182,Male,19.0,Science,6.0,Offline,Yes,Dissatisfied,No,Yes,Yes
S03183,Female,25.0,Science,8.0,Online,Yes,Very Dissatisfied,No,Yes,Yes
S03184,Female,25.0,Medicine,3.0,Hybrid,Yes,Very Satisfied,Yes,,No
S03185,Female,19.0,Arts,9.0,Offline,,Satisfied,No,No,No
S03186,Other,22.0,Medicine,5.0,Online,Yes,Satisfied,Yes,No,No
S03187,Other,23.0,Arts,11.0,Hybrid,Yes,,Yes,Yes,Yes
S03188,Other,23.0,Arts,2.0,Hybrid,Yes,Neutral,No,No,No
S03189,Other,24.0,Medicine,12.0,Offline,Yes,Satisfied,Yes,Yes,No
S03190,Male,22.0,Engineering,,Hybrid,Yes,Very Satisfied,No,Yes,Yes
S03191,Male,20.0,Engineering,10.0,Offline,Yes,Neutral,No,,No
S03192,Other,22.0,Engineering,3.0,,Yes,Very Satisfied,Yes,No,Yes
S03193,,22.0,Law,8.0,Online,Yes,Neutral,No,Yes,No
S03194,Male,22.0,Science,0.0,Online,Yes,Dissatisfied,Yes,Yes,Yes
S03195,Female,20.0,Engineering,4.0,Hybrid,Yes,Very Dissatisfied,Yes,Yes,
S03196,Female,24.0,,10.0,Offline,Yes,,Yes,,No
S03197,Female,20.0,Science,6.0,Hybrid,Yes,Very Dissatisfied,No,No,No
S03198,Female,21.0,,2.0,Offline,Yes,Satisfied,Yes,Yes,No
S03199,Male,,Arts,1.0,Hybrid,Yes,Neutral,No,Yes,No
S03200,Other,21.0,Commerce,12.0,Online,Yes,Very Dissatisfied,,No,Yes
S03201,Male,21.0,Engineering,10.0,Offline,Yes,Very Satisfied,Yes,No,Yes
S03202,Male,,Commerce,1.0,Online,Yes,Neutral,No,Yes,No
S03203,Male,23.0,Engineering,0.0,Online,Yes,Dissatisfied,,Yes,Yes
S03204,Female,19.0,Arts,4.0,Online,Yes,Very Dissatisfied,Yes,Yes,No
S03205,Female,19.0,Commerce,12.0,Hybrid,Yes,Very Dissatisfied,No,No,Yes
S03206,Female,21.0,Law,2.0,Offline,Yes,Dissatisfied,No,No,No
S03207,Other,21.0,Arts,10.0,Online,Yes,Satisfied,No,Yes,No
S03208,Male,18.0,Commerce,11.0,Offline,,Neutral,No,No,Yes
S03209,Other,25.0,Commerce,6.0,Offline,Yes,Dissatisfied,No,Yes,Yes
S03210,Female,19.0,Medicine,,,Yes,Very Satisfied,No,No,Yes
S03211,Other,25.0,Medicine,8.0,Hybrid,,Neutral,Yes,Yes,Yes
S03212,Male,25.0,Arts,1.0,Online,Yes,Dissatisfied,No,Yes,No
S03213,Male,18.0,Arts,7.0,Online,Yes,Dissatisfied,No,No,No
S03214,Female,25.0,Arts,9.0,Offline,Yes,Very Dissatisfied,No,Yes,Yes
S03215,Female,24.0,,3.0,Hybrid,Yes,Very Dissatisfied,Yes,No,
S03216,Other,18.0,Law,5.0,,Yes,Very Dissatisfied,No,No,Yes
S03217,Female,25.0,Engineering,8.0,Hybrid,Yes,Neutral,Yes,No,No
S03218,Female,,Medicine,6.0,Online,Yes,Satisfied,No,No,No
S03219,Male,22.0,Commerce,7.0,Hybrid,Yes,Neutral,Yes,Yes,Yes
S03220,Female,,,6.0,Offline,Yes,Very Dissatisfied,Yes,No,No
S03221,Female,23.0,Engineering,1.0,Online,Yes,Very Dissatisfied,Yes,Yes,Yes
S03222,Male,24.0,Arts,8.0,Hybrid,Yes,Neutral,,Yes,No
S03223,,20.0,Medicine,0.0,Hybrid,Yes,Dissatisfied,Yes,Yes,No
S03224,Other,,Law,1.0,Offline,Yes,Dissatisfied,No,No,Yes
S03225,Female,21.0,Law,2.0,Hybrid,Yes,Very Dissatisfied,No,Yes,Yes
S03226,Male,,Science,2.0,Online,Yes,Very Dissatisfied,No,No,No
S03227,Other,24.0,Medicine,9.0,Hybrid,Yes,Satisfied,Yes,Yes,Yes
S03228,Other,21.0,Arts,3.0,Offline,Yes,Dissatisfied,Yes,Yes,No
S03229,Female,20.0,Commerce,4.0,Hybrid,Yes,Satisfied,No,No,No
S03230,Female,24.0,Science,5.0,Online,No,Very Dissatisfied,No,Yes,Yes
S03231,Other,19.0,Arts,0.0,Online,Yes,Very Dissatisfied,No,No,Yes
S03232,Male,24.0,Science,12.0,Hybrid,,Satisfied,No,Yes,No
S03233,,21.0,Medicine,7.0,Hybrid,Yes,Satisfied,No,No,
S03234,Female,21.0,Engineering,5.0,Online,Yes,Very Dissatisfied,No,No,No
S03235,,22.0,Medicine,9.0,Offline,Yes,Very Satisfied,Yes,Yes,Yes
S03236,Male,25.0,Arts,8.0,Online,Yes,Very Dissatisfied,No,Yes,No
S03237,Other,18.0,Commerce,4.0,Hybrid,Yes,Dissatisfied,Yes,Yes,Yes
S03238,Female,24.0,Commerce,6.0,Hybrid,Yes,Very Dissatisfied,,Yes,No
S03239,Other,21.0,Arts,,Offline,,Neutral,Yes,No,Yes
S03240,Other,23.0,Science,3.0,Online,Yes,Very Dissatisfied,No,Yes,No
S03241,Other,19.0,Law,5.0,Online,Yes,Very Satisfied,Yes,No,Yes
S03242,Male,23.0,Arts,5.0,Offline,Yes,Dissatisfied,Yes,Yes,No
S03243,Male,20.0,Medicine,,Online,Yes,Very Dissatisfied,Yes,Yes,Yes
S03244,Female,24.0,Commerce,3.0,Offline,Yes,Satisfied,Yes,Yes,No
S03245,,22.0,Engineering,5.0,Online,Yes,Dissatisfied,Yes,Yes,Yes
S03246,Other,19.0,Commerce,7.0,Offline,Yes,Dissatisfied,Yes,Yes,Yes
S03247,Other,22.0,Law,10.0,Offline,Yes,Very Satisfied,No,Yes,No
S03248,Other,18.0,Commerce,4.0,Offline,Yes,Satisfied,,No,Yes
S03249,Female,21.0,Law,1.0,Hybrid,Yes,Neutral,No,No,Yes
S03250,Male,25.0,Arts,8.0,Hybrid,Yes,Very Dissatisfied,,Yes,No
S03251,Male,19.0,Commerce,10.0,Hybrid,Yes,Neutral,No,Yes,No
S03252,Other,20.0,Science,3.0,Online,Yes,Satisfied,No,No,Yes
S03253,Other,25.0,Medicine,3.0,Offline,Yes,Dissatisfied,No,No,Yes
S03254,Other,24.0,Science,10.0,Online,Yes,,No,Yes,Yes
S03255,Other,18.0,Medicine,6.0,Online,Yes,Very Satisfied,Yes,No,Yes
S03256,Female,18.0,Commerce,9.0,Offline,Yes,,Yes,Yes,No
S03257,Male,22.0,Commerce,9.0,Hybrid,Yes,Very Satisfied,Yes,Yes,Yes
S03258,Other,,Medicine,5.0,Online,Yes,Neutral,Yes,Yes,No
S03259,Female,,Engineering,3.0,Online,Yes,Dissatisfied,Yes,No,Yes
S03260,Other,22.0,Commerce,5.0,Online,,Very Dissatisfied,No,Yes,Yes
S03261,Other,25.0,Engineering,2.0,Hybrid,Yes,Very Dissatisfied,No,Yes,Yes
S03262,Male,18.0,Engineering,6.0,Offline,Yes,Satisfied,Yes,No,
S03263,Other,24.0,Medicine,5.0,,Yes,Dissatisfied,No,No,Yes
S03264,Male,25.0,Engineering,,Online,Yes,,No,Yes,Yes
S03265,Male,20.0,Engineering,0.0,Offline,,Dissatisfied,Yes,No,Yes
S03266,Male,24.0,Arts,11.0,Hybrid,Yes,Dissatisfied,Yes,No,Yes
S03267,Female,23.0,Science,9.0,Offline,Yes,,Yes,,Yes
S03268,Female,19.0,Engineering,4.0,Online,Yes,Very Satisfied,Yes,Yes,No
S03269,Male,20.0,Science,9.0,Online,Yes,Neutral,Yes,Yes,Yes
S03270,Other,20.0,Engineering,1.0,Offline,Yes,Dissatisfied,Yes,No,Yes
S03271,Male,22.0,Science,6.0,Online,Yes,Dissatisfied,No,No,No
S03272,,21.0,Commerce,12.0,Hybrid,Yes,Dissatisfied,Yes,Yes,No
S03273,Male,22.0,Commerce,6.0,Hybrid,Yes,Dissatisfied,Yes,Yes,No
S03274,Other,19.0,Science,3.0,Hybrid,Yes,Satisfied,No,No,No
S03275,Female,19.0,Engineering,5.0,,Yes,Very Satisfied,Yes,No,Yes
S03276,,22.0,Arts,0.0,Online,,Dissatisfied,Yes,Yes,No
